Title,Note,URL,Tags,Comment
Braley Pond dispersed campsites,"2000 ft. elev.
Braley Pond dispersed campsites
https://tmbtent.com/virginia-free-dispersed-camping/","https://www.google.com/maps/search/38.2913526,-79.3051113",,
"38°29'16.8""N 79°12'53.8""W","3800 ft. elev.
campsite at Flagpole rd & Hone Quarry Ridge trail","https://www.google.com/maps/search/38.4880059,-79.2149357",,
"38°38'32.6""N 79°05'05.0""W",3500 ft. elev.,"https://www.google.com/maps/search/38.6423933,-79.0847166",,
"38°38'43.7""N 79°04'56.4""W",3500 ft. elev.,"https://www.google.com/maps/search/38.6454657,-79.0823423",,
"38°39'05.0""N 79°05'01.2""W","3500 ft. elev.
Long Run Road campsite #6","https://www.google.com/maps/search/38.6514,-79.0836568",,
"39°07'44.8""N 79°27'29.9""W",3100 ft. elev.,"https://www.google.com/maps/search/39.1291031,-79.4583039",,
"38°46'00.8""N 79°34'22.4""W","3000-3200 ft. elev.
About 15 designated dispersed campsites along Gandy Creek.  The gravel road is generally well-maintained, but larger RVs may find some sites challenging due to size constraints.  Popular during weekends, so arrive early. No cell service in this remote area.","https://www.google.com/maps/search/38.76688,-79.57288",,
Swallow Rock Campground,"3000 ft. elev.
Part of Gandy Creek Dispersed Camping",https://www.google.com/maps/place/Swallow+Rock+Campground/data=!4m2!3m1!1s0x884b28ab45a0eb29:0xaf62e219f8f99de2,,
Red Creek Campground,3900 ft. elev.,https://www.google.com/maps/place/Red+Creek+Campground/data=!4m2!3m1!1s0x89b5324bb4b11559:0x728dc5f0a9bd0274,,
Spruce Knob Lake Campground,4000 ft. elev.,https://www.google.com/maps/place/Spruce+Knob+Lake+Campground/data=!4m2!3m1!1s0x884b253e7d15d78b:0xad27497571e386f8,,
New Germany State Park Campground,"2600 ft. elev.
A few sites are large enough for a camper van",https://www.google.com/maps/place/New+Germany+State+Park+Campground/data=!4m2!3m1!1s0x89cabb000cb631c9:0xf748779f60a3cff3,,
St. John's Rock Campsites,2800 ft. elev,https://www.google.com/maps/place/St.+John's+Rock+Campsites/data=!4m2!3m1!1s0x89ca97006d88c61b:0xacbd25466b39846f,,
"39°51'13.9""N 78°16'19.9""W","secluded site with road noise from I-70
Buchanan State Forest
SH001 Town Hill
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.8538611,-78.2721944",,
"39°52'24.4""N 78°30'32.9""W","2000 ft. elev.
Buchanan State Forest
CV021 326 Lot
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.87345,-78.50913",,
"39°51'41.2""N 78°31'44.3""W","2300 ft. elev.
Buchanan State Forest
CV014 Nester Lot
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.86143,-78.52896",,
"39°51'29.2""N 78°32'41.1""W","2000 ft. elev.
Buchanan State Forest
CV013 Refuge Trail ATV
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.8581,-78.54475",,
"39°51'37.9""N 78°33'49.7""W","2000 ft. elev.
Buchanan State Forest
CV011 Martin Hill North
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.86054,-78.5638",,
"39°51'16.3""N 78°34'39.2""W","2200 ft. elev. large grassy private lot
Buchanan State Forest
CV008 Oak Trail
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.85452,-78.57755",,
"39°49'50.4""N 78°32'38.7""W","2700 ft. elev.
Buchanan State Forest
CV006 Tower Lot
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.83067,-78.54407",,
