location,name,note,waterfront,state,ownership,website,elevation_feet,delta_temp,climate,visited,phone
"33.0405,-83.7592",Dames Ferry State Park,Multiple waterfront sites on a peninsula in Lake Juliette.  --AWH,lake,GA,state,"https://gastateparks.reserveamerica.com/camping/dames-ferry/r/campgroundDetails.do?contractCode=GA&parkId=535300
https://www.campsitephotos.com/campground/ga/dames-ferry/",442,10.307863980000004,warmer,no,
"33.2094,-82.7889",Hamburg State Park,Multiple waterfront sites on a peninsula in Hamburg Mill Pond.  --AWH,lake,GA,state,"https://gastateparks.reserveamerica.com/camping/hamburg-state-park/r/campgroundDetails.do?contractCode=GA&parkId=530165
https://www.campsitephotos.com/campground/ga/hamburg-state-park/",357,10.308043980000003,warmer,no,
"32.8834,-81.9530",Magnolia Springs State Park,"Campground on a Small Lake.  16 is the only waterfront site, but other sites may have a partial view of the lake.  --AWH",lake,GA,state,"https://gastateparks.reserveamerica.com/camping/magnolia-springs-state-park/r/campgroundDetails.do?contractCode=GA&parkId=530179
https://www.campsitephotos.com/campground/ga/magnolia-springs-state-park/",196,11.468143980000002,warmer,no,
"32.5500,-82.1239",George L. Smith State Park,Campground on a Cypress Pond.  Several sites are waterfront but cypress trees are thick near the shore.  --AWH,lake,GA,state,https://gastateparks.reserveamerica.com/camping/george-l-smith-state-park/r/campgroundDetails.do?contractCode=GA&parkId=530161,213,12.009763980000011,warmer,no,
"31.1411,-82.2157",Laura S. Walker State Park,"Campground on Laura S. Walker Lake.  Sites 5, 6, 8, and 12 are waterfront.  --AWH",lake,GA,state,"https://gastateparks.reserveamerica.com/camping/laura-s-walker-state-park/r/campgroundDetails.do?contractCode=GA&parkId=530177
https://www.campsitephotos.com/campground/ga/laura-s-walker-state-park/",118,14.885083980000003,much warmer,no,
"37.8599,-78.2282",Diamond Heritage Nature Sites (HipCamp),Electric and water.  $25/night plus HipCamp fees.  --AWH,none,VA,private,https://www.hipcamp.com/en-US/land/virginia-diamond-heritage-nature-sites-5x5hy50m,374,1.87864398,similar,no,
"38.1410,-78.2155",Lovers Lane Farm Stay (HipCamp),Private farm with camping area near attractive pond/lake.  No hookups.  $41/night plus HipCamp fees.  --AWH,pond,VA,private,https://www.hipcamp.com/en-US/land/virginia-lovers-lane-farm-stay-9mxhzdmo,557,0.7174639800000091,similar,no,
"38.6723, -77.7843",Fauquier Horse & Campground (HipCamp),Private horse farm with camping area alonside attractive pond/lake.  No hookups.  $50/night plus HipCamp fees.  --AWH,pond,VA,private,https://www.hipcamp.com/en-US/land/virginia-fauquier-horse-campground-pw1h9kl7,479,0.041923980000006016,similar,no,
"35.7991,-75.5448",Oregon Inlet Campground,Some sites are oceanfront but view and access may be blocked by dunes.  --AWH,coastal dunes,NC,federal,"https://www.recreation.gov/camping/campgrounds/251431
https://www.campsitephotos.com/campground/nc/oregon-inlet/",6,6.898483980000001,slightly warmer,no,
"39.0963,-77.9378",Watermelon Park,"On the Shenandoah River.  Waterfront sites are long-term only.  $65/night non-waterfront, 2 adults.  Additional adult +$10.  --AWH",none,VA,private,https://watermelonpark.com/,416,-0.4989760199999931,similar,yes,
"38.7740,-78.4087",Sweetwater Vacation Properties,$75/night (incl. tax/fees) for a riverfront spot w/full hookups  --AWH,river,VA,private,http://www.sweetwatervacationproperties.com/,636,-0.7027360199999957,similar,no,
"38.8419,-78.3288",Low Water Bridge Campground,"Most sites are right on the Shenandoah River.  $50/night non-electric, 2 adults.  Additional adult +$12.  Electric +$10.  --AWH",river,VA,private,https://lowwaterbridgecampground.com/,547,-0.5090560199999987,similar,yes,
"38.7472,-78.9217",River's Edge Campground,$62/night (incl. tax/fees) for a riverfront spot w/full hookups  --AWH,river,VA,private,https://www.campriversedgeva.com/,1335,-3.146596019999993,similar,no,
"25.6016,-80.3946",Larry and Penny Thompson Memorial Park and Campground,"Recommended by Grok as a good stopping point on the way to Key West that avoids downtown Miami.  The nearby zoo has a lake, but the campground is not lakefront.  --AWH",none,FL,local,https://www.miamidade.gov/parks/larry-penny.asp,39,25.136983980000004,hot,no,
"45.5716,-69.5462",Lily Bay State Park,Recommended by Grok as one of the best campgrounds in Maine.  Some campsites are lakefront.  --AWH,lake,ME,state,"https://www.campwithme.com/
https://cg-public-prod.web.maine.gov/public/index",1063,-14.459416019999988,much cooler,no,
"44.8404,-67.1500",Cobscook Bay State Park,Recommended by Grok as one of the best campgrounds in Maine.  Many campsites are lakefront.  --AWH,bay,ME,state,"https://www.campwithme.com/
https://cg-public-prod.web.maine.gov/public/index",16,-9.410956019999999,cooler,no,
"43.9312,-70.5800",Sebago Lake State Park,Recommended by Grok as one of the best campgrounds in Maine.  Some campsites appear to be lakefront.  --AWH,lake,ME,state,"https://www.campwithme.com/
https://cg-public-prod.web.maine.gov/public/index",311,-8.82739601999999,slightly cooler,no,
"44.0637,-71.5942",Hancock Campground,"Wooded sites along the Pemigewasset River, some of which are right on the water's edge.  Reservations website does not properly distinguish between tent-only and RV sites.  Call the campground to clarify.  --AWH",river,NH,federal,"https://www.fs.usda.gov/r09/whitemountain/recreation/hancock-campground
https://www.recreation.gov/camping/campgrounds/10300159",1158,-12.084496019999989,cooler,no,802-289-0970
"43.9188,-73.0272",Moosalamoo Campground,19 tent and RV sites.  Max vehicle length 20 feet.  --AWH,none,VT,federal,"https://www.fs.usda.gov/r09/gmfl/recreation/moosalamoo-campground
https://www.recreation.gov/camping/campgrounds/256347",1591,-13.36807601999999,cooler,no,
"41.9574,-74.6907",Mongaup Pond Campground,"Located in the Catskills, many RV sites right on the lake.  --AWH",lake,NY,state,"https://dec.ny.gov/places/mongaup-pond-campground-and-day-use-area
https://newyorkstateparks.reserveamerica.com/camping/mongaup%20pond/r/campgroundDetails.do?contractCode=NY&parkId=100",2165,-11.885056019999993,cooler,no,
"42.2003,-74.0416",North-South Lake Campground,The highest-elevation state campground in the Catskills.  Some campsites are on the lake.  --AWH,lake,NY,state,"https://dec.ny.gov/places/north-south-lake-campground-and-day-use-area
https://newyorkstateparks.reserveamerica.com/camping/north-south%20lake%20campground/r/campgroundDetails.do?contractCode=NY&parkId=5",2165,-12.322276019999991,cooler,no,
